Episode,A2C_Reward,A3C_Reward,A2C_Steps,A3C_Steps,A2C_Loss,A3C_Loss
1,28.0,45.0,28,45,0.49872320890426636,0.5075847506523132
2,17.0,36.0,17,36,0.4828537702560425,0.476972371339798
3,16.0,20.0,16,20,0.45208293199539185,0.4859899580478668
4,42.0,60.0,42,60,0.4765636622905731,0.4655475914478302
5,27.0,36.0,27,36,0.43705660104751587,0.3889685571193695
6,27.0,11.0,27,11,0.4573071599006653,0.5434000492095947
7,22.0,17.0,22,17,0.45621582865715027,0.40685153007507324
8,11.0,19.0,11,19,0.5693449974060059,0.3375133275985718
9,31.0,11.0,31,11,0.44339075684547424,0.4864356219768524
10,35.0,26.0,35,26,0.42562931776046753,0.3402010202407837
11,22.0,24.0,22,24,0.34855830669403076,0.13946154713630676
12,14.0,32.0,14,32,0.36300989985466003,0.20440247654914856
13,18.0,66.0,18,66,0.38600197434425354,0.3581048250198364
14,19.0,21.0,19,21,0.3792512118816376,0.36540448665618896
15,15.0,25.0,15,25,0.5255032777786255,0.5440994501113892
16,11.0,9.0,11,9,0.3490057587623596,1.502814769744873
17,17.0,35.0,17,35,0.4319474697113037,0.25881221890449524
18,43.0,19.0,43,19,0.35746708512306213,0.4136078953742981
19,26.0,64.0,26,64,0.5371532440185547,0.5054913759231567
20,17.0,30.0,17,30,0.34451624751091003,0.35605376958847046
21,27.0,21.0,27,21,0.335502564907074,0.22942891716957092
22,14.0,37.0,14,37,0.2671809494495392,0.2849239408969879
23,39.0,23.0,39,23,0.37604549527168274,0.18840192258358002
24,35.0,23.0,35,23,0.4251166880130768,0.23279133439064026
25,17.0,24.0,17,24,0.2933121621608734,0.802428126335144
26,14.0,55.0,14,55,0.33618125319480896,0.7257894277572632
27,11.0,49.0,11,49,0.4051007926464081,0.30907127261161804
28,11.0,47.0,11,47,0.43847712874412537,0.41784849762916565
29,39.0,90.0,39,90,0.3293856680393219,0.23106244206428528
30,22.0,19.0,22,19,0.30742180347442627,0.38108712434768677
31,16.0,35.0,16,35,0.2744784653186798,0.24096885323524475
32,19.0,48.0,19,48,0.3837990164756775,0.231893852353096
33,13.0,40.0,13,40,0.4470762014389038,0.14445973932743073
34,26.0,319.0,26,319,0.39444079995155334,0.31042706966400146
35,40.0,89.0,40,89,0.32050925493240356,0.20770439505577087
36,27.0,66.0,27,66,0.21503156423568726,0.05937130004167557
37,16.0,51.0,16,51,0.3388921022415161,-0.018358565866947174
38,21.0,40.0,21,40,0.2962571382522583,0.04084736853837967
39,14.0,23.0,14,23,0.34259653091430664,0.15677089989185333
40,16.0,122.0,16,122,0.3492971956729889,0.860341489315033
41,18.0,47.0,18,47,0.4563939869403839,0.16011446714401245
42,22.0,78.0,22,78,0.23375976085662842,0.6280472874641418
43,19.0,144.0,19,144,0.2541576325893402,0.34155625104904175
44,21.0,163.0,21,163,0.21846044063568115,1.673974633216858
45,16.0,218.0,16,218,0.40040743350982666,0.7787845134735107
46,32.0,64.0,32,64,0.13587240874767303,0.04976799711585045
47,20.0,105.0,20,105,0.25040850043296814,0.34264102578163147
48,13.0,17.0,13,17,0.4973004460334778,0.007875872775912285
49,11.0,36.0,11,36,0.8525329828262329,0.07742919027805328
50,21.0,53.0,21,53,0.2596993148326874,0.0653085708618164
51,26.0,21.0,26,21,0.257875919342041,0.06885063648223877
52,33.0,29.0,33,29,0.13604474067687988,0.13211855292320251
53,16.0,102.0,16,102,0.4887227416038513,0.1414230912923813
54,26.0,145.0,26,145,0.3529336154460907,0.058386676013469696
55,18.0,134.0,18,134,0.20293457806110382,0.3412373661994934
56,16.0,205.0,16,205,0.19765307009220123,0.2664056420326233
57,26.0,240.0,26,240,0.20972774922847748,0.38548481464385986
58,22.0,224.0,22,224,0.17681747674942017,0.16699248552322388
59,20.0,319.0,20,319,0.24851177632808685,0.2014709711074829
60,29.0,72.0,29,72,0.03753479942679405,0.0706644207239151
61,19.0,190.0,19,190,0.09485962241888046,0.11984822154045105
62,43.0,103.0,43,103,0.7844139337539673,0.35012683272361755
63,15.0,173.0,15,173,0.11769216507673264,0.11186494678258896
64,47.0,117.0,47,117,0.1437540203332901,0.8254525065422058
65,18.0,151.0,18,151,0.17058201134204865,0.6302847266197205
66,47.0,176.0,47,176,0.20125405490398407,0.2485131025314331
67,94.0,157.0,94,157,0.3413207530975342,0.8380511999130249
68,15.0,414.0,15,414,0.13843552768230438,0.1589270830154419
69,74.0,215.0,74,215,0.1191827654838562,0.563651978969574
70,34.0,203.0,34,203,0.09437771886587143,0.19008418917655945
71,62.0,115.0,62,115,0.23725368082523346,0.14238019287586212
72,118.0,254.0,118,254,0.28188514709472656,0.2731403708457947
73,75.0,267.0,75,267,0.6638748645782471,0.29526063799858093
74,41.0,178.0,41,178,0.23288509249687195,0.054759543389081955
75,17.0,215.0,17,215,0.49853262305259705,0.32868313789367676
76,49.0,14.0,49,14,0.46555396914482117,0.5047827363014221
77,48.0,12.0,48,12,0.34792211651802063,0.4521782100200653
78,52.0,17.0,52,17,0.4797075092792511,0.4748549163341522
79,25.0,13.0,25,13,0.33905065059661865,0.41752034425735474
80,36.0,36.0,36,36,0.43753868341445923,0.5047556161880493
81,49.0,25.0,49,25,0.34253406524658203,0.42906880378723145
82,24.0,19.0,24,19,0.4546891748905182,0.4307725727558136
83,68.0,21.0,68,21,0.4972360134124756,0.3913675546646118
84,85.0,24.0,85,24,0.41045504808425903,0.36874035000801086
85,21.0,10.0,21,10,0.3496497869491577,0.428768515586853
