Episode,PPO_Reward,TRPO_Reward,DDPG_Reward
1,-1187.1301544904709,-1187.1301544904709,-1185.4032775759697
2,-1353.012273311615,-1422.6150312423706,-1607.8404788970947
3,-1295.8153039813042,-1335.6270257234573,-1559.0430545806885
4,-1074.7593950629234,-1171.4565546512604,-1581.6356739997864
5,-1367.8175809383392,-1530.8321027755737,-1555.415018081665
6,-904.8348952047527,-1045.3413843214512,-1411.2380860447884
7,-913.3463863432407,-818.5178195722401,-1326.9312375187874
8,-904.2911964356899,-1068.3984621316195,-1223.7644935548306
9,-1054.8141359835863,-856.2640260756016,-1062.2904611229897
10,-1309.7698222398758,-1472.6437735557556,-1086.0329988598824
11,-1174.5050361156464,-1194.9645541906357,-816.5368062257767
12,-1742.7908573150635,-1767.1789054870605,-1101.5754286050797
13,-1203.0152776241302,-1251.2446517944336,-770.2590847425163
14,-1175.8899275362492,-956.5238830894232,-525.7056847913191
15,-1473.9842867851257,-1258.9140167236328,-544.9587453976274
16,-861.870024215139,-936.2762928679585,-126.84533594495588
17,-847.4271228387952,-950.5420033857226,-656.8157562934794
18,-867.7474642060697,-884.2714872080833,-141.5261666905135
19,-1430.329734325409,-1539.8981165885925,-253.750168165192
20,-1423.807029247284,-1177.327831029892,-121.30615103297168
21,-1233.8109655603766,-912.2477284688503,-1.816142940580903
22,-1201.5276933908463,-1072.4933770895004,-128.04034190485618
23,-1533.3723125457764,-1171.1159680485725,-116.11823637224734
24,-1285.3701637387276,-889.4385858625174,-129.57984924083576
25,-1199.2388569116592,-888.3082358017564,-123.65910068200901
26,-1476.268884897232,-1144.6388566493988,-113.83447833277751
27,-1314.8490934371948,-1193.290187716484,-116.37668247334659
28,-1338.7612776756287,-1064.1918143853545,-119.4668353878078
29,-1278.6668526753783,-910.5559161417186,-0.9652545342760277
30,-1521.2140607833862,-1280.6848814487457,-240.10875590596697
31,-1203.0537141561508,-1089.6835394501686,-122.0128806438297
32,-1068.4244368225336,-1031.5934464484453,-129.7050989542622
33,-1106.4039925038815,-1036.9626574218273,-125.6491358022904
34,-1190.079827055335,-969.296288125217,-2.442638697626535
35,-1770.2240862846375,-1701.6114249229431,-241.77285806063446
36,-1526.3374781608582,-1091.2331647574902,-117.81575641573
37,-1700.137631893158,-1185.7794919013977,-254.967254686635
38,-1643.1269340515137,-1539.8081641197205,-235.20324434619397
39,-1451.5804399251938,-1115.6341929137707,-121.51917019317625
40,-1147.8331781178713,-1145.3594317734241,-129.29042215482332
41,-1394.9299272298813,-1043.480142891407,-123.01053041755222
42,-1511.2217481136322,-1187.6926745474339,-124.34023557626642
43,-1781.0669345855713,-1718.4524035453796,-229.30359895605943
44,-1571.054802775383,-987.0140255689621,-119.74217648257036
45,-1625.0061645507812,-1167.0780086517334,-118.93022630480118
46,-1742.2189083099365,-1301.0165565013885,-244.84388538473286
47,-1202.1980323195457,-888.0631313025951,-3.3696607546298765
48,-1360.010235786438,-997.4882912039757,-122.18150507536484
49,-1343.3991863131523,-888.5759726222605,-124.13698924408527
50,-1657.7335124015808,-1337.748839020729,-246.5010076086619
51,-1804.906177520752,-1427.672116279602,-232.88670384231955
52,-1431.7885761260986,-1084.4951686263084,-122.94374597910792
53,-1487.706899881363,-1172.7774478197098,-117.5831195237115
54,-1319.6043586805463,-901.5445420369506,-129.51258710119873
55,-1684.5672330856323,-1265.086980521679,-244.97445242095273
56,-1169.1110236868262,-855.6880752108991,-130.40412813599687
57,-1210.9048047065735,-973.5612209737301,-120.99174966290593
58,-1436.8253827095032,-983.0877955146134,-122.47541045024991
59,-1451.287433385849,-951.1458127964288,-118.42515607224777
60,-1206.1017791181803,-859.1689001829363,-3.994479754474014
61,-1295.9057202339172,-882.3528667986393,-129.21931024547666
62,-1807.5728392601013,-1372.0043199062347,-238.07846141583286
63,-1830.5378403663635,-1456.9487409591675,-243.99522866122425
64,-1489.4491251707077,-897.9655615761876,-120.54676022543572
65,-1744.5678343772888,-1291.4744268655777,-242.0857210974209
66,-1674.2666230201721,-1014.7489058375359,-122.53127736737952
67,-1492.5633408725262,-1006.8873158842325,-132.06564970710315
68,-1319.3395897448063,-887.7099305614829,-3.6641265291254967
69,-1856.6326365470886,-1503.6798610687256,-369.0027161567673
70,-1542.8469195365906,-976.9567800760269,-124.72438182124324
71,-1403.8293536016718,-908.1598492637277,-0.09166505076791509
72,-1775.2937326431274,-1398.623636841774,-237.99138879859026
73,-1429.717532839626,-1044.3990785256028,-0.5377672135073226
74,-1611.0484244823456,-967.9453447461128,-123.66549588223279
75,-1501.651611149311,-870.9749100059271,-125.46312045288505
76,-1738.2611675262451,-1212.365466594696,-113.80507461214438
77,-1786.4693884849548,-1013.0191180035472,-246.4183577801159
78,-1809.5646967887878,-1227.908497452736,-245.550784406194
79,-1549.0917719602585,-773.8798129595816,-121.19050077348948
80,-1597.4965727329254,-855.1469076760113,-121.41916833806317
81,-1750.7404203414917,-1123.1208183169365,-264.30898355680984
82,-1681.235713005066,-1082.6193001270294,-113.85948989848839
83,-1497.1035774499178,-790.7875422453508,-1.32104130089283
84,-1759.2990078926086,-1022.7152986302972,-114.80421700916486
85,-1345.69016122818,-877.8446442633867,-123.3841406973952
86,-1529.051049232483,-1073.4864807128906,-118.78346136986511
87,-1469.891386270523,-1088.7394104599953,-121.39407141198171
88,-1606.5311884880066,-1141.22287607193,-113.12305874509912
89,-1072.6630385667086,-748.2804932966828,-1.377780032242299
90,-1710.965241909027,-1320.8587045669556,-231.9761940255994
91,-1561.3177571296692,-1255.7337379455566,-231.1496590054885
92,-1005.7588026223239,-777.0069018322974,-0.4901611677487381
93,-1420.7398269176483,-977.8685961067677,-120.13211701269029
94,-1192.0276264250278,-969.3064534859732,-123.83763422677293
95,-1307.246430158615,-982.5707595795393,-123.51154094998492
96,-1785.0399661064148,-1260.2516106963158,-237.7618101350381
97,-1472.815025806427,-1100.2447603344917,-248.47345070599113
98,-1538.2349781990051,-1002.0698743835092,-116.043558586156
99,-1098.4071860015392,-907.7523746527731,-127.09616351861041
100,-1342.7364153862,-1078.5620541274548,-115.40996576659381
